event_time,user_host,thread_id,server_id,command_type,argument
"2021-05-06 13:46:28.600293","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.605826","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.610952","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.615376","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.619900","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.624096","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.624919","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.625382","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.625772","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.626178","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.626618","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.627052","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.627590","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.628084","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.628598","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.628934","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.629361","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.629809","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.630179","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.630593","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.631007","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.631515","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.632018","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.632605","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.633130","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.633584","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.634296","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.634676","root[root] @ localhost [127.0.0.1]",12,1,Query,...
"2021-05-06 13:46:28.635092","root[root] @ localhost [127.0.0.1]",12,1,Query,...
